sales_id,product_id,store_id,product_name,brand,category,volume_ml,alcohol_percentage,store_name,city,state,region,store_type,sales_date,quantity_sold,unit_price,total_sales,email
1,HFJ65NZ5,111,Tanqueray People,Tanqueray,Liqueur,750,8.19,White and Sons,Lake Tonymouth,ND,West,Retail,2025/04/16,43,63.41,2726.63,gonzalezcharles@example.org
2,MFFAB4J2,108,Ciroc Medical,Ciroc,Vodka,1000,20.13,"Anderson, Braun and Martinez",Pierceshire,DE,South,Retail,2025/03/22,30,26.29,788.7,james75@example.com
3,UM05UIL9,134,Smirnoff Section,Smirnoff,Beer,500,32.86,Robinson Inc,East Gerald,NC,South,Retail,2025/04/19,42,85.95,3609.9,john95@example.org
4,RCYUCEA3,103,Smirnoff Green,Smirnoff,Beer,500,30.58,Burke-Johnson,North Robert,NE,Northeast,Retail,2025/04/02,35,28.45,995.75,davismeghan@example.org
5,I1RUWHAW,140,Ciroc They,Ciroc,Vodka,1000,21.07,Smith and Sons,Hollyside,CA,South,Wholesale,2025/04/13,10,38.11,381.1,woodmatthew@example.net
6,UFOBFXNM,137,Tanqueray Although,Tanqueray,Vodka,1000,4.14,Chavez-Herring,Brownmouth,DE,West,Wholesale,2025/04/17,21,63.05,1324.05,tatebrady@example.org
7,FIS869SZ,149,Smirnoff Civil,Smirnoff,Tequila,1000,10.27,Riley Group,South Jeremiah,MT,Midwest,Wholesale,2025/05/01,7,95.02,665.14,turnerashley@example.org
8,UYL1RI8C,126,Ciroc Marriage,Ciroc,Gin,1000,9.54,Whitehead and Sons,Port Justin,VA,Midwest,Wholesale,2025/05/03,33,98.62,3254.46,tonyasullivan@example.com
9,3P5Q6P95,129,Johnnie Walker Support,Johnnie,Beer,750,6.97,Wu-Torres,Lake Annaview,HI,West,Wholesale,2025/04/17,15,10.43,156.45,melanie37@example.net
10,XSEHGSHE,133,Baileys Least,Baileys,Rum,750,21.59,"Brown, Jackson and Hunter",Sanfordshire,MA,South,Wholesale,2025/04/18,8,50.66,405.28,lindsaybarton@example.com
11,TH2HY0JA,133,Don Julio Full,Don,Liqueur,750,31.65,Davis Group,New Janiceville,ND,Northeast,Retail,2025/04/09,30,87.89,2636.7,nsilva@example.net
12,ULH16ZA9,150,Captain Morgan Million,Captain,Whisky,700,33.07,Thomas-Garcia,Kevinhaven,SD,West,Retail,2025/03/31,42,88.8,3729.6,flemingclaudia@example.org
