sales_id,product_id,store_id,product_name,brand,category,volume_ml,alcohol_percentage,store_name,city,state,region,store_type,sales_date,quantity_sold,unit_price,total_sales,email,transaction_id,payment_method
1,I31Q1OMP,135,Baileys Dog,Baileys,Gin,750,30.33,"Pierce, Taylor and Jennings",Lake Kurthaven,MS,Northeast,Retail,2025/04/20,39,75.29,2936.31,reiddanielle@example.org,LVLXXMTHVC,Credit Card
2,XZOC63SP,140,Guinness Thought,Guinness,Beer,500,18.85,Bishop-Moreno,South Angela,UT,Midwest,Retail,2025/03/24,40,99.14,3965.6,saunderselizabeth@example.org,4IFVSD2WXU,Cash
3,UVEC3NO4,124,Tanqueray Box,Tanqueray,Gin,500,7.82,"Nguyen, Johnson and Burch",North Sherry,WY,West,Wholesale,2025/05/17,23,79.1,1819.3,paultyler@example.net,3CMTVYDTZK,Mobile Payment
4,Q7F6A0QN,113,Johnnie Walker Suggest,Johnnie,Rum,750,39.73,Salazar Inc,Port Michelleville,CT,Northeast,Retail,2025/05/17,23,63.56,1461.88,nicole57@example.net,H79WF8TT06,Cash
5,47OXUEBJ,107,Smirnoff Mr,Smirnoff,Rum,700,9.23,Jones-Ray,Anthonyside,ME,Midwest,Wholesale,2025/05/09,30,18.79,563.7,ernest82@example.com,6FF50IN19Y,Debit Card
6,LH0VSRM3,136,Ciroc Paper,Ciroc,Rum,750,7.3,"Martin, Camacho and Ramos",Port Scott,WY,West,Wholesale,2025/05/05,1,5.81,5.81,kathryn13@example.net,RYRBHKB1BJ,Cash
7,RHSX9GN5,130,Johnnie Walker May,Johnnie,Beer,750,40.48,"Sanders, Newman and Pope",Catherineshire,SC,South,Wholesale,2025/05/11,35,51.56,1804.6,jessica61@example.net,UA4W07OICZ,Cash
8,Y4VHISN4,104,Baileys Husband,Baileys,Whisky,700,7.61,Barker-Blair,Aaronside,WA,Northeast,Retail,2025/04/06,33,30.2,996.6,james39@example.com,00ZS0CP33Z,Mobile Payment
9,4WI85Q9I,141,Smirnoff Office,Smirnoff,Tequila,750,8.03,Peck-Pearson,Rossville,WY,Northeast,Wholesale,2025/05/13,30,35.19,1055.7,nmosley@example.org,VHKQI8VP12,Credit Card
10,VL6E8WFA,119,Johnnie Walker Relationship,Johnnie,Tequila,750,27.08,Walters Ltd,Melindaborough,CO,Southeast,Wholesale,2025/05/07,25,12.29,307.25,leviperez@example.net,Q05XNRC5Q5,Debit Card
11,278AEF1W,119,Ciroc Organization,Ciroc,Whisky,700,5.71,Ford-Roth,South Diana,AS,South,Retail,2025/05/09,49,12.18,596.82,brandonadams@example.net,CPWVLIL4MX,Cash
